BraTS21ID,Model,Channels,Tumor regions,Dice score
BraTS2021_00747,DynUnet,4 channels,TC,0.9687902331352234
BraTS2021_01362,DynUnet,4 channels,TC,0.9678848385810852
BraTS2021_00525,DynUnet,4 channels,TC,0.0736825242638588
BraTS2021_00556,DynUnet,4 channels,TC,0.8988885879516602
BraTS2021_00136,DynUnet,4 channels,TC,0.8374060988426208
BraTS2021_00360,DynUnet,4 channels,TC,0.9612900018692017
BraTS2021_00123,DynUnet,4 channels,TC,0.9745413064956665
BraTS2021_00456,DynUnet,4 channels,TC,0.9660091400146484
BraTS2021_00144,DynUnet,4 channels,TC,0.957705557346344
BraTS2021_01239,DynUnet,4 channels,TC,0.9328030347824097
BraTS2021_01486,DynUnet,4 channels,TC,0.550561785697937
BraTS2021_00003,DynUnet,4 channels,TC,0.9815685153007507
BraTS2021_01120,DynUnet,4 channels,TC,0.9873238205909729
BraTS2021_01570,DynUnet,4 channels,TC,0.9879369735717773
BraTS2021_00199,DynUnet,4 channels,TC,0.9856182336807251
BraTS2021_00789,DynUnet,4 channels,TC,0.9883702993392944
BraTS2021_00185,DynUnet,4 channels,TC,0.9471775889396667
BraTS2021_01516,DynUnet,4 channels,TC,0.39373359084129333
BraTS2021_01317,DynUnet,4 channels,TC,0.9742108583450317
BraTS2021_00151,DynUnet,4 channels,TC,0.932046115398407
BraTS2021_01049,DynUnet,4 channels,TC,0.8393533825874329
BraTS2021_00053,DynUnet,4 channels,TC,0.9385315775871277
BraTS2021_00195,DynUnet,4 channels,TC,0.9834888577461243
BraTS2021_01279,DynUnet,4 channels,TC,0.882300078868866
BraTS2021_00448,DynUnet,4 channels,TC,0.9876676797866821
BraTS2021_01459,DynUnet,4 channels,TC,0.931501030921936
BraTS2021_00806,DynUnet,4 channels,TC,0.9793599247932434
BraTS2021_01466,DynUnet,4 channels,TC,0.9616416096687317
BraTS2021_00382,DynUnet,4 channels,TC,0.9498831033706665
BraTS2021_01433,DynUnet,4 channels,TC,0.43915387988090515
BraTS2021_01113,DynUnet,4 channels,TC,0.9398338198661804
BraTS2021_00429,DynUnet,4 channels,TC,0.9673728942871094
BraTS2021_00096,DynUnet,4 channels,TC,0.9767594337463379
BraTS2021_01379,DynUnet,4 channels,TC,0.81658536195755
BraTS2021_01585,DynUnet,4 channels,TC,0.9693807363510132
BraTS2021_00102,DynUnet,4 channels,TC,0.5427209138870239
BraTS2021_01638,DynUnet,4 channels,TC,0.9659243226051331
BraTS2021_01131,DynUnet,4 channels,TC,0.9817164540290833
BraTS2021_00139,DynUnet,4 channels,TC,0.9001244902610779
BraTS2021_01338,DynUnet,4 channels,TC,0.9900772571563721
BraTS2021_01370,DynUnet,4 channels,TC,0.2895003855228424
BraTS2021_00491,DynUnet,4 channels,TC,0.9575202465057373
BraTS2021_00495,DynUnet,4 channels,TC,0.9780046939849854
BraTS2021_01454,DynUnet,4 channels,TC,0.8795169591903687
BraTS2021_01575,DynUnet,4 channels,TC,0.9412265419960022
BraTS2021_00675,DynUnet,4 channels,TC,0.9347642064094543
BraTS2021_00165,DynUnet,4 channels,TC,0.9850797057151794
BraTS2021_01047,DynUnet,4 channels,TC,0.9208974838256836
BraTS2021_01352,DynUnet,4 channels,TC,0.897496223449707
BraTS2021_01103,DynUnet,4 channels,TC,0.8893229365348816
